domain,google_mentions,Velocity_Score,mentions_score,hybrid_score
usebidflow.com,7,0.0,0.35000000000000003,0.35000000000000003
mantisbiotech.com,7,0.0,0.35000000000000003,0.35000000000000003
agenticfabriq.com,6,0.0,0.30000000000000004,0.30000000000000004
doomersion.com,6,0.0,0.30000000000000004,0.30000000000000004
trycardinal.ai,6,0.0,0.30000000000000004,0.30000000000000004
autumnai.com,6,0.0,0.30000000000000004,0.30000000000000004
tryrobby.com,6,0.0,0.30000000000000004,0.30000000000000004
opalitehealth.com,6,0.0,0.30000000000000004,0.30000000000000004
envariant.ai,6,0.0,0.30000000000000004,0.30000000000000004
endclose.com,5,0.0,0.25,0.25
usemoda.ai,5,0.0,0.25,0.25
tepali.com,5,0.0,0.25,0.25
generalastro.com,5,0.0,0.25,0.25
getfern.ai,5,0.0,0.25,0.25
travoai.com,4,0.0,0.2,0.2
alt-x.co,4,0.0,0.2,0.2
velum-labs.com,4,0.0,0.2,0.2
helloeos.ai,4,0.0,0.2,0.2
approxima.ai,4,0.0,0.2,0.2
constellationspace.ai,3,0.0,0.15000000000000002,0.15000000000000002
schedulingwiz.com,3,0.0,0.15000000000000002,0.15000000000000002
buildwithglue.com,2,0.0,0.1,0.1
claimglide.com,2,0.0,0.1,0.1
milliray.com,1,0.0,0.05,0.05
